Time,Target Position,Current Position
"builtin_interfaces.msg.Time(sec=1702662792, nanosec=790098684)",3000.0,2727
"builtin_interfaces.msg.Time(sec=1702662792, nanosec=821867133)",3000.0,2733
"builtin_interfaces.msg.Time(sec=1702662792, nanosec=853830995)",3000.0,2786
"builtin_interfaces.msg.Time(sec=1702662792, nanosec=886062183)",3000.0,2880
"builtin_interfaces.msg.Time(sec=1702662792, nanosec=917916449)",3000.0,2970
"builtin_interfaces.msg.Time(sec=1702662792, nanosec=967133434)",3000.0,3027
"builtin_interfaces.msg.Time(sec=1702662792, nanosec=997961380)",3000.0,3000
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=29879699)",3000.0,2956
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=61939815)",3000.0,2934
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=94143815)",3000.0,2950
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=126678544)",3000.0,2993
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=158674193)",3000.0,3023
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=190667846)",3000.0,3022
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=222627556)",3000.0,3003
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=254494278)",3000.0,2986
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=286586049)",3000.0,2983
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=318438928)",3000.0,2994
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=350483663)",3000.0,3010
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=382435352)",3000.0,3018
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=414556547)",3000.0,3012
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=446881725)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=479041779)",3000.0,2998
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=511733261)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=542639684)",3000.0,3009
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=574891664)",3000.0,3011
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=606209951)",3000.0,3006
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=637869354)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=669912668)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=701795008)",3000.0,3004
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=734302166)",3000.0,3004
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=766368909)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=798092271)",3000.0,2999
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=830357679)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=862439478)",3000.0,3006
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=894401225)",3000.0,3005
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=926462361)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=958610952)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662793, nanosec=990335396)",3000.0,3004
