Time,Target Position,Current Position
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=399556844)",3000.0,2912
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=447250795)",3000.0,2923
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=480065851)",3000.0,2949
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=512077747)",3000.0,2984
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=544128332)",3000.0,2997
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=576128759)",3000.0,2991
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=607995425)",3000.0,2982
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=640116389)",3000.0,2982
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=672350239)",3000.0,2990
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=704494393)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=736460188)",3000.0,3004
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=768507330)",3000.0,2999
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=800416407)",3000.0,2992
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=832243705)",3000.0,2992
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=864122745)",3000.0,2997
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=896117520)",3000.0,3003
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=928090157)",3000.0,3004
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=960078763)",3000.0,2998
"builtin_interfaces.msg.Time(sec=1702659876, nanosec=992055946)",3000.0,2994
"builtin_interfaces.msg.Time(sec=1702659877, nanosec=24035225)",3000.0,2995
"builtin_interfaces.msg.Time(sec=1702659877, nanosec=56081183)",3000.0,2999
"builtin_interfaces.msg.Time(sec=1702659877, nanosec=88136326)",3000.0,3000
"builtin_interfaces.msg.Time(sec=1702659877, nanosec=120107252)",3000.0,2995
"builtin_interfaces.msg.Time(sec=1702659877, nanosec=152060317)",3000.0,2991
"builtin_interfaces.msg.Time(sec=1702659877, nanosec=184173208)",3000.0,2994
"builtin_interfaces.msg.Time(sec=1702659877, nanosec=216113841)",3000.0,3000
"builtin_interfaces.msg.Time(sec=1702659877, nanosec=247993381)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659877, nanosec=280568650)",3000.0,2998
